autor,titulo,universidad,director,año,país,género,misc
"RODRÍGUEZ-RODRÍGUEZ, Ana María","La representación de las relaciones hispano-musulmanas en tres obras del siglo XVII: Topographía e historia general de Argel, Cautiverio y trabajos de Diego Galván e Historia de Mindanao y Joló",Wisconsin,Hutchinson,2007,Spain,Multigeneric,NA
"SCHREIBER, Amy Denise",The Structural and Thematic Integrity of Diego de San Pedro’s Cárcel de Amor,Texas,Zimic,2007,Spain,Novel/Short Story,NA
"SHUGER, Dale Rachel",A Thousand and One Quijotes: Madness in Life and Literature in Early Modem Spain,New York,Dopico Black,2007,Spain,Multi-Generic,NA
"SKUPAS, Danielle Payne McCall",Contesting Francoist Domestic Ideology: Carmen de Icaza’s Mothers and Daughters,Wisconsin,Blanco,2007,Spain,Novel / Short Story,NA
"TOWNSEND, Tamara",Memory in the Narrative of Soledad Puértolas,Ohio State,Summerhill,2007,Spain,Novel / Short Story,NA
"AGUDELO, Pilar",Edición crítica y ano­tada de Inocencia de Francisco de Paula Rendón,"California, Riverside",Williams,2007,Spanish America,Novel / Short Story,NA
"BIEL, Cindy","Sueño, deseo y obsesión: Teorías pisco-analíticas y representación",Temple,Morell,2007,Spanish America,Novel/Short Story,NA
"BIRDSONG, Jeffrey Lyman",Language and Ideology in the Poetry of José Emilio Pacheco,North Carolina,Rivero,2007,Spanish America,Poetry,NA
"BRIAN, Amber Elise","Dual Identities: Colonial Subjectivities in Seventeenth- Century New Spain, Don Carlos de Sigüenza y Góngora and Don Femando de Alva Ixtlilxochitl",Wisconsin,Zamora,2007,Spanish America,Multigeneric,NA
"BUENO, Fernanda Vítor","The Myth of Camila O’Gorman in the Works of Juana Manuela Gorriti, María Luisa Bemeberg, and Enrique Molina",Texas,Fierro,2007,Spanish America,Poetry,NA
"CELIS, Nadia","La rebelión de las niñas: Cuerpos, poder y subjetividad en la representación de niñas y adolescentes por escritoras del Caribe hispano",Rutgers,Narváez,2007,Spanish America,Multigeneric,NA
"COLLAZO VÁZQUEZ, Judie",Historia y pasión: La narrativa de OlgaNolla,Texas Tech,Beard,2007,Spanish America,Novel/Short Story,NA
"DIAZ, Gloria del Carmen",José Lezama Lima’s Paradiso: Knowledge and the Labyrinth,Texas,Salgado,2007,Spanish America,Novel/Short Story,NA
